year,country,school_id,student_id,mother_educ,father_educ,gender,computer,internet,math,read,science,stu_wgt,desk,room,dishwasher,television,computer_n,car,book,wealth,escs
2018,USA,84000001,84000250,ISCED 3A,ISCED 3A,male,yes,yes,534.751,590.33,488.669,646.62459,yes,no,NA,3+,1,3+,11-25,0.7125,-0.4811
2018,USA,84000001,84000304,ISCED 3A,ISCED 3A,female,no,yes,384.319,394.507,409.902,629.8343,no,yes,NA,3+,0,2,26-100,-1.3552,-1.0814
2018,USA,84000001,84000353,ISCED 3A,ISCED 3A,male,yes,yes,442.575,501.424,444.8,613.75669,yes,yes,NA,3+,3+,1,11-25,-0.452,-0.1468
2018,USA,84000001,84000536,ISCED 2,ISCED 3A,male,yes,yes,442.603,463.757,475.343,613.75669,yes,yes,NA,3+,1,2,26-100,-0.5213,-0.9971
2018,USA,84000001,84001240,ISCED 3A,ISCED 3A,male,yes,yes,489.73,575.47,594.165,613.75669,yes,yes,NA,3+,2,3+,26-100,1.2808,1.0243
2018,USA,84000001,84001624,ISCED 3A,ISCED 3A,male,yes,yes,443.274,454.268,519.322,613.75669,no,yes,NA,3+,1,2,26-100,-0.1937,-0.9357
2018,USA,84000001,84001714,ISCED 2,ISCED 3A,female,yes,yes,407.973,483.335,413.606,625.63029,yes,no,NA,3+,3+,2,0-10,0.2376,-0.6043
2018,USA,84000001,84001950,ISCED 3A,ISCED 3A,female,yes,yes,485.886,564.002,556.955,629.8343,yes,yes,NA,3+,3+,2,11-25,0.9818,0.9434
2018,USA,84000001,84002531,ISCED 3A,ISCED 3A,female,yes,yes,488.145,608.624,521.211,629.8343,yes,yes,NA,2,1,0,26-100,-0.9803,-0.1624
2018,USA,84000001,84002584,ISCED 3A,ISCED 3A,male,yes,yes,339.221,287.641,288.078,613.75669,yes,yes,NA,3+,0,3+,101-200,0.0179,0.4155
2018,USA,84000001,84002831,ISCED 3A,ISCED 3A,female,yes,yes,429.272,409.626,435.963,625.63029,no,yes,NA,3+,3+,2,101-200,0.6319,-1.0266
2018,USA,84000001,84002916,ISCED 3A,ISCED 3A,female,yes,yes,456.49,435.484,429.599,625.63029,yes,yes,NA,3+,3+,3+,26-100,1.4211,0.8527
2018,USA,84000001,84002931,ISCED 2,ISCED 2,male,no,yes,343.255,327.995,351.433,613.75669,yes,yes,NA,3+,0,2,26-100,-0.6447,-1.3764
2018,USA,84000001,84003259,ISCED 3A,ISCED 3A,male,yes,yes,564.607,630.163,597.664,613.75669,no,no,NA,3+,2,3+,0-10,0.6708,0.0578
2018,USA,84000001,84003351,ISCED 3A,ISCED 3A,male,yes,yes,604.471,693.591,658.769,613.75669,no,yes,NA,1,1,1,11-25,-0.9272,0.4372
